,Year,Category,Nominee,Movie,Winner
14,2010 (83rd),Actress -- Leading Role,Michelle Williams,Blue Valentine {'Cindy'},NO
146,2009 (82nd),Actress -- Leading Role,Helen Mirren,The Last Station {'Sofya'},NO
147,2009 (82nd),Actress -- Leading Role,Carey Mulligan,An Education {'Jenny'},NO
148,2009 (82nd),Actress -- Leading Role,Gabourey Sidibe,Precious: Based on the Novel 'Push' by Sapphire {'Precious'},NO
149,2009 (82nd),Actress -- Leading Role,Meryl Streep,Julie & Julia {'Julia Child'},NO
285,2008 (81st),Actress -- Leading Role,Anne Hathaway,Rachel Getting Married {'Kym'},NO
286,2008 (81st),Actress -- Leading Role,Angelina Jolie,Changeling {'Christine Collins'},NO
287,2008 (81st),Actress -- Leading Role,Melissa Leo,Frozen River {'Ray Eddy'},NO
288,2008 (81st),Actress -- Leading Role,Meryl Streep,Doubt {'Sister Aloysius Beauvier'},NO
403,2007 (80th),Actress -- Leading Role,Cate Blanchett,Elizabeth: The Golden Age {'Queen Elizabeth I'},NO
404,2007 (80th),Actress -- Leading Role,Julie Christie,Away from Her {'Fiona'},NO
406,2007 (80th),Actress -- Leading Role,Laura Linney,The Savages {'Wendy Savage'},NO
407,2007 (80th),Actress -- Leading Role,Ellen Page,Juno {'Juno MacGuff'},NO
530,2006 (79th),Actress -- Leading Role,Penélope Cruz,Volver {'Raimunda'},NO
531,2006 (79th),Actress -- Leading Role,Judi Dench,Notes on a Scandal {'Barbara Covett'},NO
533,2006 (79th),Actress -- Leading Role,Meryl Streep,The Devil Wears Prada {'Miranda Priestly'},NO
534,2006 (79th),Actress -- Leading Role,Kate Winslet,Little Children {'Sarah Pierce'},NO
660,2005 (78th),Actress -- Leading Role,Judi Dench,Mrs. Henderson Presents {'Mrs. Laura Henderson'},NO
661,2005 (78th),Actress -- Leading Role,Felicity Huffman,Transamerica {'Bree'},NO
662,2005 (78th),Actress -- Leading Role,Keira Knightley,Pride & Prejudice {'Elizabeth Bennet'},NO
663,2005 (78th),Actress -- Leading Role,Charlize Theron,North Country {'Josey Aimes'},NO
789,2004 (77th),Actress -- Leading Role,Annette Bening,Being Julia {'Julia Lambert'},NO
790,2004 (77th),Actress -- Leading Role,Catalina Sandino Moreno,Maria Full of Grace {'Maria'},NO
791,2004 (77th),Actress -- Leading Role,Imelda Staunton,Vera Drake {'Vera'},NO
793,2004 (77th),Actress -- Leading Role,Kate Winslet,Eternal Sunshine of the Spotless Mind {'Clementine Kruczynski'},NO
918,2003 (76th),Actress -- Leading Role,Keisha Castle-Hughes,Whale Rider {'Paikea'},NO
919,2003 (76th),Actress -- Leading Role,Diane Keaton,Something's Gotta Give {'Erica Barry'},NO
920,2003 (76th),Actress -- Leading Role,Samantha Morton,In America {'Sarah'},NO
922,2003 (76th),Actress -- Leading Role,Naomi Watts,21 Grams {'Cristina Peck'},NO
1040,2002 (75th),Actress -- Leading Role,Salma Hayek,Frida {'Frida Kahlo'},NO
1042,2002 (75th),Actress -- Leading Role,Diane Lane,Unfaithful {'Connie Sumner'},NO
1043,2002 (75th),Actress -- Leading Role,Julianne Moore,Far from Heaven {'Cathy Whitaker'},NO
1044,2002 (75th),Actress -- Leading Role,Renée Zellweger,Chicago {'Roxie Hart'},NO
1168,2001 (74th),Actress -- Leading Role,Judi Dench,Iris {'Iris Murdoch'},NO
1169,2001 (74th),Actress -- Leading Role,Nicole Kidman,Moulin Rouge {'Satine'},NO
1170,2001 (74th),Actress -- Leading Role,Sissy Spacek,In the Bedroom {'Ruth Fowler'},NO
1171,2001 (74th),Actress -- Leading Role,Renée Zellweger,Bridget Jones's Diary {'Bridget Jones'},NO
1304,2000 (73rd),Actress -- Leading Role,Joan Allen,The Contender {'Laine Hanson'},NO
1305,2000 (73rd),Actress -- Leading Role,Juliette Binoche,Chocolat {'Vianne Rocher'},NO
1306,2000 (73rd),Actress -- Leading Role,Ellen Burstyn,Requiem for a Dream {'Sara Goldfarb'},NO
1307,2000 (73rd),Actress -- Leading Role,Laura Linney,You Can Count on Me {'Samantha 'Sammy' Prescott'},NO
1433,1999 (72nd),Actress -- Leading Role,Annette Bening,American Beauty {'Carolyn Burnham'},NO
1434,1999 (72nd),Actress -- Leading Role,Janet McTeer,Tumbleweeds {'Mary Jo Walker'},NO
1435,1999 (72nd),Actress -- Leading Role,Julianne Moore,The End of the Affair {'Sarah Miles'},NO
1436,1999 (72nd),Actress -- Leading Role,Meryl Streep,Music of the Heart {'Roberta Guaspari'},NO
1559,1998 (71st),Actress -- Leading Role,Cate Blanchett,Elizabeth {'Queen Elizabeth I'},NO
1560,1998 (71st),Actress -- Leading Role,Fernanda Montenegro,Central Station {'Dora'},NO
1562,1998 (71st),Actress -- Leading Role,Meryl Streep,One True Thing {'Kate Gulden'},NO
1563,1998 (71st),Actress -- Leading Role,Emily Watson,Hilary and Jackie {'Jacqueline du Pré'},NO
1709,1997 (70th),Actress -- Leading Role,Helena Bonham Carter,The Wings of the Dove {'Kate Croy'},NO
1710,1997 (70th),Actress -- Leading Role,Julie Christie,Afterglow {'Phyllis Mann'},NO
1711,1997 (70th),Actress -- Leading Role,Judi Dench,Mrs. Brown {'Queen Victoria'},NO
1713,1997 (70th),Actress -- Leading Role,Kate Winslet,Titanic {'Rose DeWitt Bukater'},NO
1846,1996 (69th),Actress -- Leading Role,Brenda Blethyn,Secrets & Lies {'Cynthia'},NO
1847,1996 (69th),Actress -- Leading Role,Diane Keaton,Marvin's Room {'Bessie'},NO
1849,1996 (69th),Actress -- Leading Role,Kristin Scott Thomas,The English Patient {'Katharine Clifton'},NO
1850,1996 (69th),Actress -- Leading Role,Emily Watson,Breaking the Waves {'Bess'},NO
1978,1995 (68th),Actress -- Leading Role,Elisabeth Shue,Leaving Las Vegas {'Sera'},NO
1979,1995 (68th),Actress -- Leading Role,Sharon Stone,Casino {'Ginger McKenna'},NO
1980,1995 (68th),Actress -- Leading Role,Meryl Streep,The Bridges of Madison County {'Francesca Johnson'},NO
1981,1995 (68th),Actress -- Leading Role,Emma Thompson,Sense and Sensibility {'Elinor Dashwood'},NO
2118,1994 (67th),Actress -- Leading Role,Jodie Foster,Nell {'Nell'},NO
2120,1994 (67th),Actress -- Leading Role,Miranda Richardson,Tom & Viv {'Viv'},NO
2121,1994 (67th),Actress -- Leading Role,Winona Ryder,Little Women {'Jo March'},NO
2122,1994 (67th),Actress -- Leading Role,Susan Sarandon,The Client {'Reggie Love'},NO
2256,1993 (66th),Actress -- Leading Role,Angela Bassett,What's Love Got to Do with It {'Tina Turner'},NO
2257,1993 (66th),Actress -- Leading Role,Stockard Channing,Six Degrees of Separation {'Ouisa Kittredge'},NO
2259,1993 (66th),Actress -- Leading Role,Emma Thompson,The Remains of the Day {'Miss Kenton'},NO
2260,1993 (66th),Actress -- Leading Role,Debra Winger,Shadowlands {'Joy Gresham'},NO
2375,1992 (65th),Actress -- Leading Role,Catherine Deneuve,Indochine {'Eliane'},NO
2376,1992 (65th),Actress -- Leading Role,Mary McDonnell,Passion Fish {'May-Alice'},NO
2377,1992 (65th),Actress -- Leading Role,Michelle Pfeiffer,Love Field {'Lurene Hallett'},NO
2378,1992 (65th),Actress -- Leading Role,Susan Sarandon,Lorenzo's Oil {'Michaela Odone'},NO
2501,1991 (64th),Actress -- Leading Role,Geena Davis,Thelma & Louise {'Thelma'},NO
2502,1991 (64th),Actress -- Leading Role,Laura Dern,Rambling Rose {'Rose'},NO
2504,1991 (64th),Actress -- Leading Role,Bette Midler,For the Boys {'Dixie Leonard'},NO
2505,1991 (64th),Actress -- Leading Role,Susan Sarandon,Thelma & Louise {'Louise'},NO
2627,1990 (63rd),Actress -- Leading Role,Anjelica Huston,The Grifters {'Lilly Dillon'},NO
2628,1990 (63rd),Actress -- Leading Role,Julia Roberts,Pretty Woman {'Vivian Ward'},NO
2629,1990 (63rd),Actress -- Leading Role,Meryl Streep,Postcards from the Edge {'Suzanne Vale'},NO
2630,1990 (63rd),Actress -- Leading Role,Joanne Woodward,Mr. & Mrs. Bridge {'India Bridge'},NO
2755,1989 (62nd),Actress -- Leading Role,Isabelle Adjani,Camille Claudel {'Camille Claudel'},NO
2756,1989 (62nd),Actress -- Leading Role,Pauline Collins,Shirley Valentine {'Shirley Valentine'},NO
2757,1989 (62nd),Actress -- Leading Role,Jessica Lange,Music Box {'Ann Talbot'},NO
2758,1989 (62nd),Actress -- Leading Role,Michelle Pfeiffer,The Fabulous Baker Boys {'Susie Diamond'},NO
2869,1988 (61st),Actress -- Leading Role,Glenn Close,Dangerous Liaisons {'Marquise de Merteuil'},NO
2871,1988 (61st),Actress -- Leading Role,Melanie Griffith,Working Girl {'Tess McGill'},NO
2872,1988 (61st),Actress -- Leading Role,Meryl Streep,A Cry in the Dark {'Lindy'},NO
2873,1988 (61st),Actress -- Leading Role,Sigourney Weaver,Gorillas in the Mist {'Dian Fossey'},NO
2994,1987 (60th),Actress -- Leading Role,Glenn Close,Fatal Attraction {'Alex Forrest'},NO
2995,1987 (60th),Actress -- Leading Role,Holly Hunter,Broadcast News {'Jane Craig'},NO
2996,1987 (60th),Actress -- Leading Role,Sally Kirkland,Anna {'Anna'},NO
2997,1987 (60th),Actress -- Leading Role,Meryl Streep,Ironweed {'Helen'},NO
3112,1986 (59th),Actress -- Leading Role,Jane Fonda,The Morning After {'Alex Sternbergen'},NO
3114,1986 (59th),Actress -- Leading Role,Sissy Spacek,Crimes of the Heart {'Babe Magrath'},NO
3115,1986 (59th),Actress -- Leading Role,Kathleen Turner,Peggy Sue Got Married {'Peggy Sue'},NO
3116,1986 (59th),Actress -- Leading Role,Sigourney Weaver,Aliens {'Ripley'},NO
3235,1985 (58th),Actress -- Leading Role,Anne Bancroft,Agnes of God {'Sister Miriam Ruth'},NO
3236,1985 (58th),Actress -- Leading Role,Whoopi Goldberg,The Color Purple {'Celie'},NO
3237,1985 (58th),Actress -- Leading Role,Jessica Lange,Sweet Dreams {'Patsy Cline'},NO
3239,1985 (58th),Actress -- Leading Role,Meryl Streep,Out of Africa {'Karen'},NO
3351,1984 (57th),Actress -- Leading Role,Judy Davis,A Passage to India {'Adela Quested'},NO
3353,1984 (57th),Actress -- Leading Role,Jessica Lange,Country {'Jewell Ivy'},NO
3354,1984 (57th),Actress -- Leading Role,Vanessa Redgrave,The Bostonians {'Olive Chancellor'},NO
3355,1984 (57th),Actress -- Leading Role,Sissy Spacek,The River {'Mae Garvey'},NO
3472,1983 (56th),Actress -- Leading Role,Jane Alexander,Testament {'Carol Wetherly'},NO
3474,1983 (56th),Actress -- Leading Role,Meryl Streep,Silkwood {'Karen Silkwood'},NO
3475,1983 (56th),Actress -- Leading Role,Julie Walters,Educating Rita {'Rita'},NO
3476,1983 (56th),Actress -- Leading Role,Debra Winger,Terms of Endearment {'Emma Horton'},NO
3588,1982 (55th),Actress -- Leading Role,Julie Andrews,Victor/Victoria {'Victor/Victoria'},NO
3589,1982 (55th),Actress -- Leading Role,Jessica Lange,Frances {'Frances Farmer'},NO
3590,1982 (55th),Actress -- Leading Role,Sissy Spacek,Missing {'Beth Horman'},NO
3592,1982 (55th),Actress -- Leading Role,Debra Winger,An Officer and a Gentleman {'Paula Pokrifki'},NO
3712,1981 (54th),Actress -- Leading Role,Diane Keaton,Reds {'Louise Bryant'},NO
3713,1981 (54th),Actress -- Leading Role,Marsha Mason,Only When I Laugh {'Georgia'},NO
3714,1981 (54th),Actress -- Leading Role,Susan Sarandon,Atlantic City {'Sally'},NO
3715,1981 (54th),Actress -- Leading Role,Meryl Streep,The French Lieutenant's Woman {'Sara Woodruff/Anna'},NO
3831,1980 (53rd),Actress -- Leading Role,Ellen Burstyn,Resurrection {'Edna May'},NO
3832,1980 (53rd),Actress -- Leading Role,Goldie Hawn,Private Benjamin {'Judy Benjamin'},NO
3833,1980 (53rd),Actress -- Leading Role,Mary Tyler Moore,Ordinary People {'Beth Jarrett'},NO
3834,1980 (53rd),Actress -- Leading Role,Gena Rowlands,Gloria {'Gloria Swenson'},NO
3944,1979 (52nd),Actress -- Leading Role,Jill Clayburgh,Starting Over {'Marilyn Homberg'},NO
3946,1979 (52nd),Actress -- Leading Role,Jane Fonda,The China Syndrome {'Kimberly Wells'},NO
3947,1979 (52nd),Actress -- Leading Role,Marsha Mason,Chapter Two {'Jennie MacLaine'},NO
3948,1979 (52nd),Actress -- Leading Role,Bette Midler,The Rose {'Rose'},NO
4069,1978 (51st),Actress -- Leading Role,Ingrid Bergman,Autumn Sonata {'Charlotte Andergast'},NO
4070,1978 (51st),Actress -- Leading Role,Ellen Burstyn,"Same Time, Next Year {'Doris'}",NO
4071,1978 (51st),Actress -- Leading Role,Jill Clayburgh,An Unmarried Woman {'Erica'},NO
4073,1978 (51st),Actress -- Leading Role,Geraldine Page,Interiors {'Eve'},NO
4189,1977 (50th),Actress -- Leading Role,Anne Bancroft,The Turning Point {'Emma Jacklin'},NO
4190,1977 (50th),Actress -- Leading Role,Jane Fonda,Julia {'Lillian Hellman'},NO
4192,1977 (50th),Actress -- Leading Role,Shirley MacLaine,The Turning Point {'Deedee Rodgers'},NO
4193,1977 (50th),Actress -- Leading Role,Marsha Mason,The Goodbye Girl {'Paula McFadden'},NO
4314,1976 (49th),Actress -- Leading Role,Marie-Christine Barrault,"Cousin, Cousine {'Marthe'}",NO
4316,1976 (49th),Actress -- Leading Role,Talia Shire,Rocky {'Adrian'},NO
4317,1976 (49th),Actress -- Leading Role,Sissy Spacek,Carrie {'Carrie White'},NO
4318,1976 (49th),Actress -- Leading Role,Liv Ullmann,Face to Face {'Dr. Jenny Isaksson'},NO
4427,1975 (48th),Actress -- Leading Role,Isabelle Adjani,The Story of Adele H. {'Adele Hugo'},NO
4428,1975 (48th),Actress -- Leading Role,Ann-Margret,Tommy {'Nora Walker Hobbs'},NO
4430,1975 (48th),Actress -- Leading Role,Glenda Jackson,Hedda {'Hedda Gabler'},NO
4431,1975 (48th),Actress -- Leading Role,Carol Kane,Hester Street {'Gitl'},NO
4546,1974 (47th),Actress -- Leading Role,Diahann Carroll,Claudine {'Claudine'},NO
4547,1974 (47th),Actress -- Leading Role,Faye Dunaway,Chinatown {'Evelyn Cross Mulwray'},NO
4548,1974 (47th),Actress -- Leading Role,Valerie Perrine,Lenny {'Honey Bruce'},NO
4549,1974 (47th),Actress -- Leading Role,Gena Rowlands,A Woman under the Influence {'Mabel Longhetti'},NO
4660,1973 (46th),Actress -- Leading Role,Ellen Burstyn,The Exorcist {'Chris MacNeil'},NO
4662,1973 (46th),Actress -- Leading Role,Marsha Mason,Cinderella Liberty {'Maggie Paul'},NO
4663,1973 (46th),Actress -- Leading Role,Barbra Streisand,The Way We Were {'Katie Morosky'},NO
4664,1973 (46th),Actress -- Leading Role,Joanne Woodward,"Summer Wishes, Winter Dreams {'Rita Walden'}",NO
4770,1972 (45th),Actress -- Leading Role,Diana Ross,Lady Sings the Blues {'Billie Holiday'},NO
4771,1972 (45th),Actress -- Leading Role,Maggie Smith,Travels with My Aunt {'Aunt Augusta'},NO
4772,1972 (45th),Actress -- Leading Role,Cicely Tyson,Sounder {'Rebecca Morgan'},NO
4773,1972 (45th),Actress -- Leading Role,Liv Ullmann,The Emigrants {'Kristina'},NO
4883,1971 (44th),Actress -- Leading Role,Julie Christie,McCabe & Mrs. Miller {'Mrs. Constance Miller'},NO
4885,1971 (44th),Actress -- Leading Role,Glenda Jackson,Sunday Bloody Sunday {'Alex Greville'},NO
4886,1971 (44th),Actress -- Leading Role,Vanessa Redgrave,"Mary, Queen of Scots {'Mary, Queen of Scots'}",NO
4887,1971 (44th),Actress -- Leading Role,Janet Suzman,Nicholas and Alexandra {'Alexandra'},NO
4993,1970 (43rd),Actress -- Leading Role,Jane Alexander,The Great White Hope {'Eleanor Bachman'},NO
4995,1970 (43rd),Actress -- Leading Role,Ali MacGraw,Love Story {'Jenny Cavilleri'},NO
4996,1970 (43rd),Actress -- Leading Role,Sarah Miles,Ryan's Daughter {'Rosy Ryan'},NO
6,2010 (83rd),Actor -- Supporting Role,John Hawkes,Winter's Bone {'Teardrop'},NO
7,2010 (83rd),Actor -- Supporting Role,Jeremy Renner,The Town {'James Coughlin'},NO
8,2010 (83rd),Actor -- Supporting Role,Mark Ruffalo,The Kids Are All Right {'Paul'},NO
9,2010 (83rd),Actor -- Supporting Role,Geoffrey Rush,The King's Speech {'Lionel Logue'},NO
140,2009 (82nd),Actor -- Supporting Role,Matt Damon,Invictus {'Francois Pienaar'},NO
141,2009 (82nd),Actor -- Supporting Role,Woody Harrelson,The Messenger {'Captain Tony Stone'},NO
142,2009 (82nd),Actor -- Supporting Role,Christopher Plummer,The Last Station {'Tolstoy'},NO
143,2009 (82nd),Actor -- Supporting Role,Stanley Tucci,The Lovely Bones {'George Harvey'},NO
280,2008 (81st),Actor -- Supporting Role,Josh Brolin,Milk {'Dan White'},NO
281,2008 (81st),Actor -- Supporting Role,Robert Downey Jr.,Tropic Thunder {'Kirk Lazarus'},NO
282,2008 (81st),Actor -- Supporting Role,Philip Seymour Hoffman,Doubt {'Father Brendan Flynn'},NO
284,2008 (81st),Actor -- Supporting Role,Michael Shannon,Revolutionary Road {'John Givings'},NO
398,2007 (80th),Actor -- Supporting Role,Casey Affleck,The Assassination of Jesse James by the Coward Robert Ford {'Robert Ford'},NO
400,2007 (80th),Actor -- Supporting Role,Philip Seymour Hoffman,Charlie Wilson's War {'Gust Avrakotos'},NO
401,2007 (80th),Actor -- Supporting Role,Hal Holbrook,Into the Wild {'Ron Franz'},NO
402,2007 (80th),Actor -- Supporting Role,Tom Wilkinson,Michael Clayton {'Arthur Edens'},NO
526,2006 (79th),Actor -- Supporting Role,Jackie Earle Haley,Little Children {'Ronnie J. McGorvey'},NO
527,2006 (79th),Actor -- Supporting Role,Djimon Hounsou,Blood Diamond {'Solomon Vandy'},NO
528,2006 (79th),Actor -- Supporting Role,Eddie Murphy,Dreamgirls {'James 'Thunder' Early'},NO
529,2006 (79th),Actor -- Supporting Role,Mark Wahlberg,The Departed {'Dignam'},NO
656,2005 (78th),Actor -- Supporting Role,Matt Dillon,Crash {'Officer Ryan'},NO
657,2005 (78th),Actor -- Supporting Role,Paul Giamatti,Cinderella Man {'Joe Gould'},NO
658,2005 (78th),Actor -- Supporting Role,Jake Gyllenhaal,Brokeback Mountain {'Jack Twist'},NO
659,2005 (78th),Actor -- Supporting Role,William Hurt,A History of Violence {'Richie Cusack'},NO
784,2004 (77th),Actor -- Supporting Role,Alan Alda,The Aviator {'Senator Ralph Owen Brewster'},NO
785,2004 (77th),Actor -- Supporting Role,Thomas Haden Church,Sideways {'Jack'},NO
786,2004 (77th),Actor -- Supporting Role,Jamie Foxx,Collateral {'Max'},NO
788,2004 (77th),Actor -- Supporting Role,Clive Owen,Closer {'Larry'},NO
913,2003 (76th),Actor -- Supporting Role,Alec Baldwin,The Cooler {'Shelly Kaplow'},NO
914,2003 (76th),Actor -- Supporting Role,Benicio Del Toro,21 Grams {'Jack Jordan'},NO
915,2003 (76th),Actor -- Supporting Role,Djimon Hounsou,In America {'Mateo'},NO
917,2003 (76th),Actor -- Supporting Role,Ken Watanabe,The Last Samurai {'Katsumoto'},NO
1036,2002 (75th),Actor -- Supporting Role,Ed Harris,The Hours {'Richard Brown'},NO
1037,2002 (75th),Actor -- Supporting Role,Paul Newman,Road to Perdition {'John Rooney'},NO
1038,2002 (75th),Actor -- Supporting Role,John C. Reilly,Chicago {'Amos Hart'},NO
1039,2002 (75th),Actor -- Supporting Role,Christopher Walken,Catch Me If You Can {'Frank Abagnale'},NO
1163,2001 (74th),Actor -- Supporting Role,Ethan Hawke,Training Day {'Jake'},NO
1164,2001 (74th),Actor -- Supporting Role,Ben Kingsley,Sexy Beast {'Don Logan'},NO
1165,2001 (74th),Actor -- Supporting Role,Ian McKellen,The Lord of the Rings: The Fellowship of the Ring {'Gandalf'},NO
1166,2001 (74th),Actor -- Supporting Role,Jon Voight,Ali {'Howard Cosell'},NO
1299,2000 (73rd),Actor -- Supporting Role,Jeff Bridges,The Contender {'President Jackson Evans'},NO
1300,2000 (73rd),Actor -- Supporting Role,Willem Dafoe,Shadow of the Vampire {'Max Schreck'},NO
1302,2000 (73rd),Actor -- Supporting Role,Albert Finney,Erin Brockovich {'Ed Masry'},NO
1303,2000 (73rd),Actor -- Supporting Role,Joaquin Phoenix,Gladiator {'Commodus'},NO
1429,1999 (72nd),Actor -- Supporting Role,Tom Cruise,Magnolia {'Frank T.J. Mackey'},NO
1430,1999 (72nd),Actor -- Supporting Role,Michael Clarke Duncan,The Green Mile {'John Coffey'},NO
1431,1999 (72nd),Actor -- Supporting Role,Jude Law,The Talented Mr. Ripley {'Dickie Greenleaf'},NO
1432,1999 (72nd),Actor -- Supporting Role,Haley Joel Osment,The Sixth Sense {'Cole Sear'},NO
1555,1998 (71st),Actor -- Supporting Role,Robert Duvall,A Civil Action {'Jerome Facher'},NO
1556,1998 (71st),Actor -- Supporting Role,Ed Harris,The Truman Show {'Christof'},NO
1557,1998 (71st),Actor -- Supporting Role,Geoffrey Rush,Shakespeare in Love {'Philip Henslowe'},NO
1558,1998 (71st),Actor -- Supporting Role,Billy Bob Thornton,A Simple Plan {'Jacob'},NO
1704,1997 (70th),Actor -- Supporting Role,Robert Forster,Jackie Brown {'Max Cherry'},NO
1705,1997 (70th),Actor -- Supporting Role,Anthony Hopkins,Amistad {'John Quincy Adams'},NO
1706,1997 (70th),Actor -- Supporting Role,Greg Kinnear,As Good as It Gets {'Simon Bishop'},NO
1707,1997 (70th),Actor -- Supporting Role,Burt Reynolds,Boogie Nights {'Jack Horner'},NO
1842,1996 (69th),Actor -- Supporting Role,William H. Macy,Fargo {'Jerry Lundegaard'},NO
1843,1996 (69th),Actor -- Supporting Role,Armin Mueller-Stahl,Shine {'Peter Helfgott'},NO
1844,1996 (69th),Actor -- Supporting Role,Edward Norton,Primal Fear {'Aaron Stampler'},NO
1845,1996 (69th),Actor -- Supporting Role,James Woods,Ghosts of Mississippi {'Byron De La Beckwith'},NO
1972,1995 (68th),Actor -- Supporting Role,James Cromwell,Babe {'Farmer Hoggett'},NO
1973,1995 (68th),Actor -- Supporting Role,Ed Harris,Apollo 13 {'Gene Kranz'},NO
1974,1995 (68th),Actor -- Supporting Role,Brad Pitt,12 Monkeys {'Jeffrey Goines'},NO
1975,1995 (68th),Actor -- Supporting Role,Tim Roth,Rob Roy {'Archibald Cunningham'},NO
2113,1994 (67th),Actor -- Supporting Role,Samuel L. Jackson,Pulp Fiction {'Jules Winnfield'},NO
2115,1994 (67th),Actor -- Supporting Role,Chazz Palminteri,Bullets over Broadway {'Cheech'},NO
2116,1994 (67th),Actor -- Supporting Role,Paul Scofield,Quiz Show {'Mark Van Doren'},NO
2117,1994 (67th),Actor -- Supporting Role,Gary Sinise,Forrest Gump {'Lieutenant Dan'},NO
2251,1993 (66th),Actor -- Supporting Role,Leonardo DiCaprio,What's Eating Gilbert Grape {'Arnie Grape'},NO
2252,1993 (66th),Actor -- Supporting Role,Ralph Fiennes,Schindler's List {'Amon Goeth'},NO
2254,1993 (66th),Actor -- Supporting Role,John Malkovich,In the Line of Fire {'Mitch Leary'},NO
2255,1993 (66th),Actor -- Supporting Role,Pete Postlethwaite,In the Name of the Father {'Giuseppe Conlon'},NO
2370,1992 (65th),Actor -- Supporting Role,Jaye Davidson,The Crying Game {'Dil'},NO
2372,1992 (65th),Actor -- Supporting Role,Jack Nicholson,A Few Good Men {'Col. Nathan R. Jessep'},NO
2373,1992 (65th),Actor -- Supporting Role,Al Pacino,Glengarry Glen Ross {'Ricky Roma'},NO
2374,1992 (65th),Actor -- Supporting Role,David Paymer,Mr. Saturday Night {'Stan'},NO
2496,1991 (64th),Actor -- Supporting Role,Tommy Lee Jones,JFK {'Clay Shaw'},NO
2497,1991 (64th),Actor -- Supporting Role,Harvey Keitel,Bugsy {'Mickey Cohen'},NO
2498,1991 (64th),Actor -- Supporting Role,Ben Kingsley,Bugsy {'Meyer Lansky'},NO
2499,1991 (64th),Actor -- Supporting Role,Michael Lerner,Barton Fink {'Jack Lipnick'},NO
2621,1990 (63rd),Actor -- Supporting Role,Bruce Davison,Longtime Companion {'David'},NO
2622,1990 (63rd),Actor -- Supporting Role,Andy Garcia,"The Godfather, Part III {'Vincent Mancini'}",NO
2623,1990 (63rd),Actor -- Supporting Role,Graham Greene,Dances With Wolves {'Kicking Bird'},NO
2624,1990 (63rd),Actor -- Supporting Role,Al Pacino,Dick Tracy {'Big Boy Caprice'},NO
2750,1989 (62nd),Actor -- Supporting Role,Danny Aiello,Do the Right Thing {'Sal'},NO
2751,1989 (62nd),Actor -- Supporting Role,Dan Aykroyd,Driving Miss Daisy {'Boolie Werthan'},NO
2752,1989 (62nd),Actor -- Supporting Role,Marlon Brando,A Dry White Season {'McKenzie'},NO
2753,1989 (62nd),Actor -- Supporting Role,Martin Landau,Crimes and Misdemeanors {'Judah Rosenthal'},NO
2864,1988 (61st),Actor -- Supporting Role,Alec Guinness,Little Dorrit {'William Dorrit'},NO
2866,1988 (61st),Actor -- Supporting Role,Martin Landau,Tucker The Man and His Dream {'Abe'},NO
2867,1988 (61st),Actor -- Supporting Role,River Phoenix,Running on Empty {'Danny Pope'},NO
2868,1988 (61st),Actor -- Supporting Role,Dean Stockwell,Married to the Mob {'Tony 'the Tiger' Russo'},NO
2988,1987 (60th),Actor -- Supporting Role,Albert Brooks,Broadcast News {'Aaron Altman'},NO
2990,1987 (60th),Actor -- Supporting Role,Morgan Freeman,Street Smart {'Fast Black'},NO
2991,1987 (60th),Actor -- Supporting Role,Vincent Gardenia,Moonstruck {'Cosmo Castorini'},NO
2992,1987 (60th),Actor -- Supporting Role,Denzel Washington,Cry Freedom {'Steve Biko'},NO
3107,1986 (59th),Actor -- Supporting Role,Tom Berenger,Platoon {'Sgt. Barnes'},NO
3109,1986 (59th),Actor -- Supporting Role,Willem Dafoe,Platoon {'Sgt. Elias'},NO
3110,1986 (59th),Actor -- Supporting Role,Denholm Elliott,A Room with a View {'Mr. Emerson'},NO
3111,1986 (59th),Actor -- Supporting Role,Dennis Hopper,Hoosiers {'Shooter'},NO
3231,1985 (58th),Actor -- Supporting Role,Klaus Maria Brandauer,Out of Africa {'Bror'},NO
3232,1985 (58th),Actor -- Supporting Role,William Hickey,Prizzi's Honor {'Don Corrado Prizzi'},NO
3233,1985 (58th),Actor -- Supporting Role,Robert Loggia,Jagged Edge {'Sam Ransom'},NO
3234,1985 (58th),Actor -- Supporting Role,Eric Roberts,Runaway Train {'Buck'},NO
3346,1984 (57th),Actor -- Supporting Role,Adolph Caesar,A Soldier's Story {'Sgt. Waters'},NO
3347,1984 (57th),Actor -- Supporting Role,John Malkovich,Places in the Heart {'Mr. Will'},NO
3348,1984 (57th),Actor -- Supporting Role,Noriyuki 'Pat' Morita,The Karate Kid {'Miyagi'},NO
3350,1984 (57th),Actor -- Supporting Role,Ralph Richardson,"Greystoke: The Legend of Tarzan, Lord of the Apes {'The Sixth Earl of Greystoke'}",NO
3467,1983 (56th),Actor -- Supporting Role,Charles Durning,To Be or Not to Be {'Col. Erhardt'},NO
3468,1983 (56th),Actor -- Supporting Role,John Lithgow,Terms of Endearment {'Sam Burns'},NO
3470,1983 (56th),Actor -- Supporting Role,Sam Shepard,The Right Stuff {'Chuck Yeager'},NO
3471,1983 (56th),Actor -- Supporting Role,Rip Torn,Cross Creek {'Marsh Turner'},NO
3583,1982 (55th),Actor -- Supporting Role,Charles Durning,The Best Little Whorehouse in Texas {'The Governor'},NO
3585,1982 (55th),Actor -- Supporting Role,John Lithgow,The World According to Garp {'Roberta Muldoon'},NO
3586,1982 (55th),Actor -- Supporting Role,James Mason,The Verdict {'Edward Concannon'},NO
