Split,SubjectId,Subject,PA,AB,H,TB,BB,SF,HBP
vs RHH,519240,519240,6,4,2,2,2,0,0
vs LHH,519242,519242,15,14,3,4,0,0,1
vs RHH,519242,519242,93,87,25,47,2,1,3
vs LHH,519267,519267,9,8,1,2,0,0,0
vs RHH,519267,519267,22,21,1,2,1,0,0
vs LHH,519293,519293,7,6,1,1,1,0,0
vs RHH,519293,519293,11,11,1,1,0,0,0
vs LHH,519294,519294,9,7,2,2,2,0,0
vs RHH,519294,519294,11,11,3,6,0,0,0
vs LHH,519301,519301,5,5,1,2,0,0,0
vs RHH,519301,519301,6,5,0,0,1,0,0
vs LHH,519322,519322,4,4,0,0,0,0,0
vs RHH,519322,519322,13,13,1,1,0,0,0
vs LHH,519326,519326,4,3,1,2,1,0,0
vs RHH,519326,519326,7,7,1,1,0,0,0
vs LHH,519381,519381,7,6,1,2,1,0,0
vs RHH,519381,519381,5,4,1,1,1,0,0
vs LHH,519437,519437,3,3,1,1,0,0,0
vs RHH,519437,519437,2,2,1,1,0,0,0
vs LHH,519455,519455,14,14,3,7,0,0,0
vs RHH,519455,519455,16,12,4,6,3,0,0
vs LHH,520980,520980,8,7,1,1,1,0,0
vs RHH,520980,520980,18,18,3,4,0,0,0
vs LHH,521230,521230,15,12,4,5,3,0,0
vs RHH,521230,521230,19,18,3,7,1,0,0
vs LHH,523260,523260,12,11,2,5,1,0,0
vs RHH,523260,523260,18,18,4,4,0,0,0
vs LHH,523848,523848,15,13,7,7,2,0,0
vs RHH,523848,523848,15,12,3,4,2,0,1
vs LHH,527048,527048,4,3,0,0,0,1,0
vs RHH,527048,527048,71,65,20,33,4,0,1
vs LHH,527054,527054,31,29,11,19,1,0,1
vs RHH,527054,527054,46,43,7,9,3,0,0
vs LHH,532077,532077,27,26,8,14,1,0,0
vs RHH,532077,532077,20,18,4,4,1,1,0
vs LHH,534737,534737,8,8,3,7,0,0,0
vs RHH,534737,534737,30,28,7,8,2,0,0
vs LHH,534812,534812,11,10,4,7,0,0,0
vs RHH,534812,534812,17,15,3,6,1,1,0
vs LHH,534947,534947,37,36,9,11,1,0,0
vs RHH,534947,534947,34,31,6,15,1,1,1
vs LHH,541640,541640,11,11,2,2,0,0,0
vs RHH,541640,541640,17,15,3,6,2,0,0
vs LHH,541652,541652,21,18,2,2,2,0,1
vs RHH,541652,541652,7,6,2,5,1,0,0
vs LHH,542432,542432,14,12,4,5,2,0,0
vs RHH,542432,542432,12,10,2,3,0,1,1
vs LHH,542609,542609,9,7,2,6,2,0,0
vs RHH,542609,542609,9,9,3,4,0,0,0
vs LHH,542866,542866,7,7,5,10,0,0,0
vs RHH,542866,542866,7,6,2,3,1,0,0
vs LHH,542881,542881,15,15,5,7,0,0,0
vs RHH,542881,542881,45,41,13,21,2,1,1
vs LHH,542882,542882,30,29,7,14,0,1,0
vs RHH,542882,542882,37,34,10,12,2,1,0
vs LHH,542888,542888,10,10,2,3,0,0,0
vs RHH,542888,542888,10,9,2,5,1,0,0
vs LHH,542947,542947,7,6,0,0,1,0,0
vs RHH,542947,542947,9,9,2,2,0,0,0
vs LHH,542953,542953,9,8,2,3,1,0,0
vs RHH,542953,542953,13,11,2,2,1,1,0
vs LHH,542960,542960,10,8,2,6,2,0,0
vs RHH,542960,542960,23,21,6,7,2,0,0
vs LHH,543017,543017,12,11,4,7,1,0,0
vs RHH,543017,543017,6,5,1,1,1,0,0
vs LHH,543022,543022,56,46,12,21,8,0,2
vs RHH,543022,543022,20,20,4,7,0,0,0
vs LHH,543045,543045,2,2,0,0,0,0,0
vs RHH,543045,543045,10,9,2,2,1,0,0
vs LHH,543054,543054,16,13,5,6,3,0,0
vs RHH,543054,543054,12,9,3,6,3,0,0
vs LHH,543056,543056,10,9,1,1,1,0,0
vs RHH,543056,543056,9,9,1,1,0,0,0
vs LHH,543101,543101,27,24,4,5,3,0,0
vs RHH,543101,543101,47,42,14,22,5,0,0
vs LHH,543118,543118,10,10,1,2,0,0,0
vs RHH,543118,543118,15,14,2,3,1,0,0
vs LHH,543144,543144,14,10,1,1,3,0,1
vs RHH,543144,543144,15,12,3,7,1,0,1
vs LHH,543169,543169,4,3,0,0,1,0,0
vs RHH,543169,543169,22,16,5,9,5,0,0
vs LHH,543184,543184,15,12,2,4,3,0,0
vs RHH,543184,543184,60,57,14,22,3,0,0
vs LHH,543195,543195,18,16,5,6,2,0,0
vs RHH,543195,543195,23,20,3,6,3,0,0
vs LHH,543219,543219,5,4,0,0,0,0,1
vs RHH,543219,543219,11,8,4,7,3,0,0
vs LHH,543243,543243,1,1,1,1,0,0,0
vs RHH,543243,543243,3,3,0,0,0,0,0
vs LHH,543272,543272,10,10,1,2,0,0,0
vs RHH,543272,543272,28,26,5,10,2,0,0
vs LHH,543278,543278,10,7,1,1,3,0,0
vs RHH,543278,543278,18,17,3,3,1,0,0
vs LHH,543294,543294,24,23,5,7,0,0,1
vs RHH,543294,543294,47,46,14,17,1,0,0
vs LHH,543339,543339,13,13,2,5,0,0,0
vs RHH,543339,543339,13,11,3,4,2,0,0
vs LHH,543359,543359,9,7,1,1,2,0,0
vs RHH,543359,543359,7,5,4,5,1,1,0
vs LHH,543380,543380,10,8,2,5,2,0,0
vs RHH,543380,543380,11,9,1,1,2,0,0
vs LHH,543408,543408,49,36,8,14,12,1,0
vs RHH,543408,543408,28,24,8,17,3,0,0
vs LHH,543475,543475,7,5,2,3,1,0,1
vs RHH,543475,543475,9,8,3,4,1,0,0
vs LHH,543483,543483,9,5,2,2,4,0,0
vs RHH,543483,543483,11,9,3,6,1,0,0
vs LHH,543506,543506,11,11,4,4,0,0,0
vs RHH,543506,543506,11,11,4,5,0,0,0
vs LHH,543521,543521,63,57,13,21,6,0,0
vs RHH,543521,543521,43,40,4,5,2,0,1
vs LHH,543542,543542,18,15,4,7,2,1,0
vs RHH,543542,543542,42,37,7,11,5,0,0
vs LHH,543548,543548,6,4,1,1,1,0,0
vs RHH,543548,543548,9,6,1,4,2,1,0
vs LHH,543557,543557,8,8,0,0,0,0,0
vs RHH,543557,543557,36,32,7,13,4,0,0
vs LHH,543606,543606,26,24,2,2,1,0,1
vs RHH,543606,543606,34,32,10,21,2,0,0
vs LHH,543699,543699,20,16,2,2,4,0,0
vs RHH,543699,543699,48,44,8,17,4,0,0
vs RHH,543716,543716,4,4,1,4,0,0,0
vs LHH,543726,543726,14,10,3,5,4,0,0
vs RHH,543726,543726,8,8,3,5,0,0,0
vs LHH,543734,543734,12,12,0,0,0,0,0
vs RHH,543734,543734,23,23,4,8,0,0,0
vs LHH,543746,543746,11,10,4,5,1,0,0
vs RHH,543746,543746,16,16,1,1,0,0,0
vs LHH,543766,543766,11,10,3,3,1,0,0
vs RHH,543766,543766,16,15,4,5,1,0,0
vs LHH,543779,543779,11,10,2,2,1,0,0
vs RHH,543779,543779,13,13,3,8,0,0,0
vs LHH,543859,543859,8,7,2,5,1,0,0
vs RHH,543859,543859,20,18,6,10,2,0,0
vs LHH,543883,543883,11,10,2,2,1,0,0
vs RHH,543883,543883,23,22,8,15,1,0,0
vs LHH,543901,543901,16,14,2,5,2,0,0
vs RHH,543901,543901,20,19,4,7,0,0,1
vs LHH,543935,543935,18,17,5,12,1,0,0
vs RHH,543935,543935,13,12,3,4,1,0,0
vs LHH,544150,544150,17,16,4,6,1,0,0
vs RHH,544150,544150,20,19,6,13,1,0,0
vs LHH,544727,544727,20,16,4,5,4,0,0
vs RHH,544727,544727,20,15,1,1,3,1,0
vs RHH,544759,544759,4,4,0,0,0,0,0
vs LHH,544836,544836,6,6,3,7,0,0,0
vs RHH,544836,544836,9,8,1,4,1,0,0
vs LHH,544930,544930,3,2,2,2,0,0,1
vs RHH,544930,544930,6,6,2,3,0,0,0
vs LHH,544993,544993,4,3,0,0,0,1,0
vs RHH,544993,544993,4,4,0,0,0,0,0
vs LHH,545332,545332,6,5,1,2,1,0,0
vs RHH,545332,545332,5,5,0,0,0,0,0
vs LHH,545333,545333,36,34,6,11,1,0,1
vs RHH,545333,545333,50,42,17,29,5,0,2
vs LHH,545363,545363,13,12,1,1,0,0,1
vs RHH,545363,545363,8,7,1,2,1,0,0
vs LHH,546276,546276,6,6,1,2,0,0,0
vs RHH,546276,546276,5,4,1,1,1,0,0
vs LHH,547179,547179,21,18,6,9,3,0,0
vs RHH,547179,547179,16,16,0,0,0,0,0
vs LHH,547749,547749,6,6,2,3,0,0,0
vs RHH,547749,547749,5,5,0,0,0,0,0
vs LHH,547874,547874,20,20,8,13,0,0,0
vs RHH,547874,547874,40,36,13,19,4,0,0
vs LHH,547888,547888,27,23,7,16,3,1,0
vs RHH,547888,547888,27,25,4,10,2,0,0
vs LHH,547973,547973,4,3,0,0,1,0,0
vs RHH,547973,547973,18,16,1,1,2,0,0
vs LHH,548337,548337,9,7,2,2,2,0,0
vs RHH,548337,548337,6,6,2,5,0,0,0
vs LHH,548357,548357,5,4,1,4,1,0,0
vs RHH,548357,548357,3,3,1,1,0,0,0
vs LHH,548389,548389,11,10,3,3,1,0,0
vs RHH,548389,548389,31,26,5,7,4,0,0
vs LHH,553878,553878,9,8,0,0,1,0,0
vs RHH,553878,553878,22,21,8,14,1,0,0
vs LHH,570240,570240,2,1,0,0,1,0,0
vs RHH,570240,570240,12,12,2,5,0,0,0
vs LHH,570257,570257,18,16,6,6,2,0,0
vs RHH,570257,570257,17,16,2,3,0,0,1
vs LHH,570632,570632,30,25,9,19,5,0,0
vs RHH,570632,570632,24,23,10,20,0,0,0
vs LHH,570649,570649,43,40,10,20,1,1,1
vs RHH,570649,570649,43,38,15,21,5,0,0
vs LHH,570663,570663,16,15,2,2,1,0,0
vs RHH,570663,570663,13,12,2,5,1,0,0
vs LHH,570666,570666,39,37,10,17,2,0,0
vs RHH,570666,570666,50,47,12,18,1,1,1
vs LHH,571473,571473,7,6,0,0,1,0,0
vs RHH,571473,571473,7,7,1,1,0,0,0
vs LHH,571476,571476,15,11,5,8,4,0,0
vs RHH,571476,571476,19,17,1,1,0,0,2
vs LHH,571510,571510,3,2,0,0,1,0,0
vs RHH,571510,571510,29,29,8,17,0,0,0
vs LHH,571539,571539,12,10,2,3,1,0,1
vs RHH,571539,571539,6,6,0,0,0,0,0
vs LHH,571561,571561,7,6,0,0,1,0,0
vs RHH,571561,571561,16,14,7,9,2,0,0
vs LHH,571572,571572,4,4,0,0,0,0,0
vs RHH,571572,571572,11,9,5,12,2,0,0
vs LHH,571578,571578,12,12,1,1,0,0,0
vs RHH,571578,571578,21,20,2,2,1,0,0
vs LHH,571656,571656,18,14,3,7,3,0,0
vs RHH,571656,571656,5,3,1,1,1,1,0
vs LHH,571666,571666,35,32,8,12,2,1,0
vs RHH,571666,571666,33,31,7,11,2,0,0
vs LHH,571704,571704,15,12,2,2,3,0,0
vs RHH,571704,571704,18,13,4,8,5,0,0
vs LHH,571710,571710,6,5,0,0,1,0,0
vs RHH,571710,571710,22,18,2,2,1,0,3
vs LHH,571800,571800,9,6,3,7,2,1,0
vs RHH,571800,571800,12,10,0,0,1,0,0
vs LHH,571863,571863,22,21,3,3,1,0,0
vs RHH,571863,571863,27,24,4,9,0,0,2
vs LHH,571871,571871,8,6,2,2,0,1,1
vs RHH,571871,571871,8,7,2,2,1,0,0
vs LHH,571882,571882,7,7,3,6,0,0,0
vs RHH,571882,571882,8,8,1,1,0,0,0
vs LHH,571893,571893,8,7,2,2,1,0,0
vs RHH,571893,571893,8,8,3,4,0,0,0
vs LHH,571901,571901,8,7,1,1,1,0,0
vs RHH,571901,571901,4,3,1,2,1,0,0
vs LHH,571946,571946,41,37,10,16,4,0,0
vs RHH,571946,571946,27,24,5,6,2,1,0
vs LHH,571951,571951,29,23,3,4,6,0,0
vs RHH,571951,571951,43,38,10,14,4,0,0
vs LHH,572020,572020,2,2,1,1,0,0,0
vs RHH,572020,572020,71,69,14,22,2,0,0
vs LHH,572021,572021,6,6,3,5,0,0,0
vs RHH,572021,572021,6,5,2,5,1,0,0
vs LHH,572044,572044,9,8,3,3,1,0,0
vs RHH,572044,572044,10,10,3,6,0,0,0
vs LHH,572086,572086,9,8,2,2,1,0,0
vs RHH,572086,572086,14,11,4,6,2,1,0
vs LHH,572096,572096,18,17,5,5,1,0,0
vs RHH,572096,572096,12,11,2,2,1,0,0
vs LHH,572102,572102,7,5,2,5,2,0,0
vs RHH,572102,572102,12,10,5,8,2,0,0
vs LHH,572119,572119,5,3,1,1,2,0,0
vs RHH,572119,572119,7,5,4,5,0,0,1
vs LHH,572140,572140,1,0,0,0,1,0,0
vs RHH,572140,572140,8,7,3,3,1,0,0
vs LHH,572193,572193,7,7,1,2,0,0,0
vs RHH,572193,572193,11,9,1,1,1,0,1
vs LHH,572308,572308,7,6,0,0,1,0,0
vs RHH,572308,572308,23,20,5,10,3,0,0
vs LHH,572750,572750,15,11,5,5,2,1,1
vs RHH,572750,572750,16,13,5,7,3,0,0
vs LHH,572788,572788,16,15,3,7,1,0,0
vs RHH,572788,572788,11,8,0,0,1,0,1
vs LHH,572831,572831,12,11,4,4,1,0,0
vs RHH,572831,572831,12,10,3,3,1,1,0
vs LHH,572888,572888,15,13,6,9,1,0,0
vs RHH,572888,572888,13,12,4,4,0,1,0
vs LHH,572990,572990,9,7,1,1,2,0,0
vs RHH,572990,572990,10,7,1,1,3,0,0
vs LHH,573009,573009,3,2,2,3,0,0,0
vs RHH,573009,573009,4,2,2,2,2,0,0
vs LHH,573046,573046,3,2,0,0,1,0,0
vs RHH,573046,573046,13,13,3,7,0,0,0
vs LHH,573064,573064,5,5,1,1,0,0,0
vs RHH,573064,573064,6,6,1,2,0,0,0
vs LHH,573109,573109,25,21,4,4,4,0,0
vs RHH,573109,573109,8,8,4,5,0,0,0
vs LHH,573124,573124,12,12,2,3,0,0,0
vs RHH,573124,573124,16,14,3,5,2,0,0
vs LHH,573185,573185,23,21,1,3,2,0,0
vs RHH,573185,573185,56,49,15,31,6,0,1
vs LHH,573186,573186,36,30,8,8,4,0,0
vs RHH,573186,573186,46,42,9,12,3,1,0
vs LHH,573589,573589,11,10,1,2,1,0,0
vs RHH,573589,573589,9,8,1,1,1,0,0
vs LHH,573668,573668,12,10,3,4,1,0,1
vs RHH,573668,573668,13,11,4,5,1,0,1
vs LHH,582494,582494,13,12,3,3,0,0,0
vs RHH,582494,582494,8,6,2,2,2,0,0
vs LHH,591693,591693,14,12,5,11,2,0,0
vs RHH,591693,591693,5,5,1,1,0,0,0
vs LHH,592091,592091,7,7,2,3,0,0,0
vs RHH,592091,592091,26,21,5,8,5,0,0
vs LHH,592102,592102,5,4,1,1,1,0,0
vs RHH,592102,592102,18,17,1,4,1,0,0
vs LHH,592130,592130,5,4,2,2,1,0,0
vs RHH,592130,592130,5,4,0,0,0,1,0
vs LHH,592169,592169,19,17,6,11,1,0,1
vs RHH,592169,592169,12,9,1,4,3,0,0
vs LHH,592222,592222,2,2,0,0,0,0,0
vs RHH,592222,592222,16,16,5,5,0,0,0
vs LHH,592254,592254,13,8,2,3,3,0,0
vs RHH,592254,592254,22,19,9,17,2,0,1
vs LHH,592314,592314,14,10,0,0,3,0,0
vs RHH,592314,592314,6,6,2,2,0,0,0
vs LHH,592330,592330,6,6,2,2,0,0,0
vs RHH,592330,592330,11,7,3,3,2,0,2
vs LHH,592332,592332,42,41,13,25,1,0,0
vs RHH,592332,592332,44,40,12,17,3,0,0
vs LHH,592340,592340,17,12,4,4,5,0,0
vs RHH,592340,592340,13,12,2,2,1,0,0
vs LHH,592351,592351,57,53,12,20,3,1,0
vs RHH,592351,592351,20,15,3,4,3,0,1
vs LHH,592390,592390,7,5,1,2,2,0,0
vs RHH,592390,592390,18,18,3,3,0,0,0
vs LHH,592433,592433,6,5,2,2,1,0,0
vs RHH,592433,592433,5,5,1,1,0,0,0
vs LHH,592454,592454,11,10,0,0,1,0,0
vs RHH,592454,592454,9,8,3,4,1,0,0
vs LHH,592527,592527,16,13,5,9,3,0,0
vs RHH,592527,592527,14,11,1,2,3,0,0
vs LHH,592533,592533,7,4,0,0,3,0,0
vs RHH,592533,592533,16,15,4,7,1,0,0
vs LHH,592593,592593,6,6,1,1,0,0,0
vs RHH,592593,592593,21,17,4,4,3,0,0
vs LHH,592612,592612,6,5,2,4,1,0,0
vs RHH,592612,592612,9,8,2,3,1,0,0
vs LHH,592614,592614,2,2,0,0,0,0,0
vs RHH,592614,592614,14,12,5,9,1,1,0
vs LHH,592644,592644,6,6,1,1,0,0,0
vs RHH,592644,592644,12,10,4,8,2,0,0
vs LHH,592662,592662,6,6,2,2,0,0,0
vs RHH,592662,592662,61,50,14,30,10,1,0
vs LHH,592665,592665,19,17,5,5,1,0,0
vs RHH,592665,592665,12,12,1,4,0,0,0
vs LHH,592717,592717,44,36,4,4,7,0,1
vs RHH,592717,592717,31,30,7,12,1,0,0
vs LHH,592741,592741,2,2,2,5,0,0,0
vs RHH,592741,592741,5,3,0,0,2,0,0
vs LHH,592767,592767,13,11,1,1,0,2,0
vs RHH,592767,592767,34,31,10,17,3,0,0
vs LHH,592779,592779,3,3,1,1,0,0,0
vs RHH,592779,592779,21,20,5,11,1,0,0
vs LHH,592789,592789,19,17,8,12,2,0,0
vs RHH,592789,592789,26,25,5,5,1,0,0
vs LHH,592791,592791,33,29,8,16,4,0,0
vs RHH,592791,592791,35,35,8,15,0,0,0
vs LHH,592804,592804,16,12,3,4,4,0,0
vs RHH,592804,592804,18,16,5,10,1,0,1
vs LHH,592815,592815,4,2,0,0,2,0,0
vs RHH,592815,592815,3,3,0,0,0,0,0
vs LHH,592836,592836,34,27,6,10,6,0,0
vs RHH,592836,592836,41,36,10,19,5,0,0
vs LHH,592866,592866,14,13,5,15,1,0,0
vs RHH,592866,592866,27,25,7,12,2,0,0
vs LHH,592869,592869,5,3,1,1,1,0,1
vs RHH,592869,592869,8,7,2,2,1,0,0
vs LHH,592872,592872,9,7,0,0,2,0,0
vs RHH,592872,592872,23,23,5,9,0,0,0
vs LHH,593140,593140,7,7,2,4,0,0,0
vs RHH,593140,593140,4,4,1,1,0,0,0
vs LHH,593372,593372,45,41,9,11,4,0,0
vs RHH,593372,593372,32,28,7,11,4,0,0
vs LHH,593417,593417,32,30,10,21,2,0,0
vs RHH,593417,593417,30,30,9,22,0,0,0
vs LHH,593576,593576,17,14,5,8,3,0,0
vs RHH,593576,593576,14,11,2,3,2,0,0
vs LHH,593582,593582,14,10,5,9,4,0,0
vs RHH,593582,593582,11,9,2,2,0,1,1
vs LHH,593679,593679,33,32,12,12,1,0,0
vs RHH,593679,593679,26,23,5,5,2,1,0
vs LHH,593958,593958,19,16,3,4,1,0,2
vs RHH,593958,593958,66,57,15,23,7,2,0
vs LHH,593969,593969,3,3,1,1,0,0,0
vs LHH,593974,593974,9,6,1,1,3,0,0
vs RHH,593974,593974,13,11,6,8,2,0,0
vs LHH,594311,594311,11,9,2,3,2,0,0
vs RHH,594311,594311,14,14,3,7,0,0,0
vs LHH,594577,594577,3,3,1,1,0,0,0
vs RHH,594577,594577,6,6,2,2,0,0,0
vs LHH,594736,594736,11,11,4,7,0,0,0
vs RHH,594736,594736,18,17,6,11,1,0,0
vs LHH,594742,594742,39,37,9,13,0,1,1
vs RHH,594742,594742,26,25,7,7,0,0,1
vs LHH,594760,594760,27,21,6,10,5,0,1
vs RHH,594760,594760,39,37,8,17,0,1,0
vs LHH,594772,594772,6,6,1,1,0,0,0
vs RHH,594772,594772,11,10,1,1,1,0,0
vs LHH,594792,594792,6,4,1,2,2,0,0
vs RHH,594792,594792,16,14,2,6,0,0,1
vs LHH,594795,594795,12,12,3,7,0,0,0
vs RHH,594795,594795,6,6,2,2,0,0,0
vs LHH,594840,594840,1,1,0,0,0,0,0
vs RHH,594840,594840,1,1,0,0,0,0,0
vs LHH,594857,594857,12,12,1,2,0,0,0
vs RHH,594857,594857,10,9,2,3,1,0,0
vs LHH,594943,594943,22,21,1,3,1,0,0
vs RHH,594943,594943,23,22,7,13,1,0,0
vs LHH,594951,594951,11,10,2,5,1,0,0
vs RHH,594951,594951,8,7,1,1,1,0,0
vs LHH,594985,594985,1,1,0,0,0,0,0
vs RHH,594985,594985,5,5,4,4,0,0,0
vs LHH,594986,594986,7,7,0,0,0,0,0
vs RHH,594986,594986,11,10,1,3,1,0,0
vs LHH,595001,595001,26,22,6,11,4,0,0
vs RHH,595001,595001,28,27,4,8,1,0,0
vs LHH,595014,595014,5,4,1,2,1,0,0
vs RHH,595014,595014,20,18,5,7,2,0,0
vs LHH,595032,595032,32,30,4,4,2,0,0
vs RHH,595032,595032,20,20,8,15,0,0,0
vs LHH,595191,595191,45,43,11,25,2,0,0
vs RHH,595191,595191,43,43,5,18,0,0,0
vs LHH,595345,595345,9,9,3,3,0,0,0
vs RHH,595345,595345,7,7,1,1,0,0,0
vs LHH,595918,595918,20,16,4,6,3,1,0
vs RHH,595918,595918,26,23,7,12,2,1,0
vs LHH,596043,596043,26,24,7,13,2,0,0
vs RHH,596043,596043,40,39,11,21,1,0,0
vs LHH,596057,596057,18,17,0,0,1,0,0
vs RHH,596057,596057,56,50,16,23,4,2,0
vs LHH,596064,596064,10,9,1,2,1,0,0
vs RHH,596064,596064,10,9,3,4,1,0,0
vs LHH,596112,596112,39,32,13,24,6,0,1
vs RHH,596112,596112,45,37,8,12,6,0,2
vs LHH,596133,596133,21,15,9,10,4,1,1
vs RHH,596133,596133,17,15,7,14,0,1,1
vs LHH,596331,596331,8,7,1,1,1,0,0
vs RHH,596331,596331,8,8,0,0,0,0,0
vs LHH,598264,598264,8,6,1,1,2,0,0
vs RHH,598264,598264,11,9,3,3,2,0,0
vs RHH,598287,598287,1,1,0,0,0,0,0
vs LHH,599998,599998,7,7,2,2,0,0,0
vs RHH,599998,599998,15,15,4,8,0,0,0
vs LHH,600526,600526,9,8,3,5,1,0,0
vs RHH,600526,600526,5,4,0,0,1,0,0
vs LHH,600917,600917,7,6,2,4,1,0,0
vs RHH,600917,600917,16,15,2,3,1,0,0
vs LHH,600944,600944,9,8,1,1,1,0,0
vs RHH,600944,600944,5,5,1,1,0,0,0
vs LHH,605151,605151,58,49,17,26,8,0,1
vs RHH,605151,605151,39,37,7,9,1,1,0
vs LHH,605152,605152,4,4,1,1,0,0,0
vs LHH,605164,605164,15,14,4,8,1,0,0
vs RHH,605164,605164,28,25,5,9,2,0,1
vs LHH,605182,605182,21,21,4,4,0,0,0
vs RHH,605182,605182,31,26,10,22,5,0,0
vs LHH,605194,605194,31,30,6,10,1,0,0
vs RHH,605194,605194,33,33,5,12,0,0,0
vs LHH,605200,605200,16,16,5,8,0,0,0
vs RHH,605200,605200,27,24,9,14,1,0,1
vs LHH,605218,605218,8,8,2,6,0,0,0
vs RHH,605218,605218,19,16,3,9,3,0,0
vs LHH,605226,605226,3,3,0,0,0,0,0
vs LHH,605228,605228,16,16,2,3,0,0,0
vs RHH,605228,605228,11,11,1,1,0,0,0
vs LHH,605232,605232,2,2,2,2,0,0,0
vs RHH,605232,605232,33,29,8,10,3,1,0
vs LHH,605242,605242,46,41,12,14,5,0,0
vs RHH,605242,605242,25,23,9,13,1,0,0
vs LHH,605309,605309,3,3,0,0,0,0,0
vs RHH,605309,605309,16,15,5,9,1,0,0
vs LHH,605388,605388,22,18,5,9,3,0,1
vs RHH,605388,605388,50,45,17,26,3,1,0
vs LHH,605396,605396,19,17,4,4,2,0,0
vs RHH,605396,605396,18,15,7,13,2,0,1
vs LHH,605397,605397,19,17,4,5,2,0,0
vs RHH,605397,605397,28,27,5,8,1,0,0
vs LHH,605452,605452,19,19,7,10,0,0,0
vs RHH,605452,605452,28,24,7,7,3,0,1
vs LHH,605483,605483,10,10,4,4,0,0,0
vs RHH,605483,605483,43,37,8,11,6,0,0
vs LHH,605525,605525,2,2,1,1,0,0,0
vs RHH,605525,605525,2,2,0,0,0,0,0
vs LHH,605538,605538,22,18,1,1,4,0,0
vs RHH,605538,605538,46,45,15,29,1,0,0
vs LHH,605541,605541,1,1,0,0,0,0,0
vs RHH,605541,605541,3,3,0,0,0,0,0
vs LHH,605894,605894,11,8,2,3,3,0,0
vs RHH,605894,605894,13,11,2,3,1,1,0
vs LHH,606131,606131,23,22,7,17,1,0,0
vs RHH,606131,606131,25,25,5,11,0,0,0
vs LHH,606160,606160,11,10,5,7,1,0,0
vs RHH,606160,606160,14,14,3,6,0,0,0
vs LHH,606291,606291,9,9,2,3,0,0,0
vs RHH,606291,606291,8,3,0,0,5,0,0
vs LHH,606930,606930,11,10,3,3,1,0,0
vs RHH,606930,606930,15,15,4,5,0,0,0
vs LHH,606965,606965,15,15,6,7,0,0,0
vs RHH,606965,606965,18,17,1,1,1,0,0
vs LHH,606983,606983,5,5,1,1,0,0,0
vs RHH,606983,606983,11,11,4,8,0,0,0
vs LHH,607074,607074,11,10,3,4,1,0,0
vs RHH,607074,607074,63,54,10,20,6,1,1
vs LHH,607192,607192,25,20,6,8,5,0,0
vs RHH,607192,607192,27,24,4,8,2,0,1
vs LHH,607229,607229,41,38,7,8,3,0,0
vs RHH,607229,607229,33,29,8,9,2,1,0
vs LHH,607231,607231,14,10,1,2,4,0,0
vs RHH,607231,607231,18,16,8,11,1,0,0
vs LHH,607259,607259,9,9,3,3,0,0,0
vs RHH,607259,607259,12,11,1,1,1,0,0
vs LHH,607309,607309,15,11,5,6,4,0,0
vs RHH,607309,607309,13,10,2,2,2,0,1
vs LHH,607320,607320,2,2,1,1,0,0,0
vs RHH,607320,607320,15,14,2,2,0,0,0
vs LHH,607352,607352,12,12,3,4,0,0,0
vs RHH,607352,607352,19,15,5,7,3,1,0
vs LHH,607359,607359,4,2,1,1,1,0,1
vs RHH,607359,607359,11,10,1,4,1,0,0
vs LHH,607457,607457,10,10,3,3,0,0,0
vs RHH,607457,607457,8,8,0,0,0,0,0
vs LHH,607625,607625,39,31,5,13,7,0,0
vs RHH,607625,607625,28,24,8,15,2,0,0
vs LHH,607727,607727,5,5,2,2,0,0,0
vs RHH,607727,607727,4,4,1,2,0,0,0
vs LHH,608032,608032,5,2,0,0,1,1,1
vs RHH,608032,608032,17,14,5,8,3,0,0
vs LHH,608337,608337,1,1,1,4,0,0,0
vs RHH,608337,608337,9,8,2,6,1,0,0
vs LHH,608349,608349,18,17,3,5,1,0,0
vs RHH,608349,608349,10,9,1,1,1,0,0
vs LHH,608379,608379,14,14,5,5,0,0,0
vs RHH,608379,608379,16,12,8,15,1,1,0
vs LHH,608566,608566,39,35,13,21,2,1,0
vs RHH,608566,608566,38,35,11,21,0,0,3
vs LHH,608638,608638,7,6,1,1,1,0,0
vs RHH,608638,608638,13,13,4,6,0,0,0
vs LHH,608648,608648,28,26,5,7,1,0,0
vs RHH,608648,608648,11,11,5,15,0,0,0
vs LHH,608665,608665,40,40,10,11,0,0,0
vs RHH,608665,608665,33,29,8,13,2,0,1
vs LHH,608678,608678,6,4,0,0,2,0,0
vs RHH,608678,608678,10,9,4,5,0,1,0
vs LHH,608718,608718,17,16,8,9,1,0,0
vs RHH,608718,608718,22,21,5,9,0,0,0
vs LHH,611093,611093,8,7,2,2,1,0,0
vs RHH,611093,611093,14,14,1,4,0,0,0
vs LHH,612672,612672,9,8,4,4,0,0,1
vs RHH,612672,612672,44,42,10,17,1,1,0
vs LHH,621052,621052,39,36,9,14,3,0,0
vs RHH,621052,621052,37,33,8,9,4,0,0
vs LHH,621199,621199,10,9,3,4,1,0,0
vs RHH,621199,621199,18,18,4,4,0,0,0
vs LHH,621219,621219,3,3,0,0,0,0,0
vs RHH,621219,621219,2,2,0,0,0,0,0
vs LHH,621242,621242,12,12,4,6,0,0,0
vs RHH,621242,621242,21,21,6,10,0,0,0
vs LHH,621244,621244,34,28,6,12,6,0,0
vs RHH,621244,621244,26,23,6,7,1,0,2
